Author,Date,Text
Scottst79743752,2018-09-05 21:57:15,"b'RT @WalshFreedom: So of course, one day after Trump says he\'s never called anybody ""retarded,"" a video comes out clearly showing Trump call\xe2\x80\xa6'"
Rich705,2018-09-05 21:57:15,"b""RT @DogginTrump: I just want to thank MSNBC for turning off Ted Cruz\n\nThat and there's another trump bombshell so turn on your TV's now!"""
DeanePicard,2018-09-05 21:57:15,b'RT @Amy_Siskind: An unstable tyrant is running our country and making lifetime appointments:\n\xe2\x80\x9cPandemonium\xe2\x80\x9d reigns as Trump cancels meetings\xe2\x80\xa6'
JohnRus36538253,2018-09-05 21:57:15,"b""RT @TeaPainUSA: You know that sickenin' sound an engine makes right before it throws a rod?  That's the sound the Trump administration is m\xe2\x80\xa6"""
atw330,2018-09-05 21:57:15,b'@realDonaldTrump The Failing Donald Trump is only qualified for an office with rubber walls and a door that only lo\xe2\x80\xa6 https://t.co/CHaQn7cKUV'
JimHarmattan,2018-09-05 21:57:15,b'What a horse shit biased poll this is.'
angela_lois74l,2018-09-05 21:57:15,b'RT @WiredSources: BREAKING: President Trump to declassify redacted documents from controversial FISA warrant against Carter Page - @SaraCar\xe2\x80\xa6'
jhjanie1,2018-09-05 21:57:15,b'RT @perfectsliders: ARE ILLEGALS ON WELFARE? - Huge Number Of Illegals Opting Out Of Welfare Programs Fearing Trump Admin Crackdown to deny\xe2\x80\xa6'
debbiepalm44,2018-09-05 21:57:15,b'RT @kathygriffin: All of a sudden Trump supporters are concerned with the labor conditions in Nike factories...wonder what brought that on?\xe2\x80\xa6'
Hrsims1958,2018-09-05 21:57:15,"b""RT @mmpadellan: Let's be honest:\n\nEvery SINGLE person with a working brain stem who has witnessed trump's behavior -- Pence, Ryan, McConnel\xe2\x80\xa6"""
glpiman,2018-09-05 21:57:15,b'RT @funder: I just want to say thank you to the anonymous senior Trump administration official who wrote The NY Times op-ed titled: \xe2\x80\x9cI Am P\xe2\x80\xa6'
ElectionGal,2018-09-05 21:57:15,b'@Kenvinottawa @davidakin @nypost It wouldn\xe2\x80\x99t have mattered. Trump wanted chaos and was determined to get it.'
